Varenavn;Pris;Volum;Alkohol;AlkPerKrone
Rød Hyggevin Arne og Carlos;399.9;3;12;0.090022506
Les Grès Chardonnay Viognier;399.9;3;12;0.090022506
Roman Graeff Riesling Classic 2016;399.9;3;12;0.090022506
Georges Duboeuf Pinot Noir;399.9;3;12;0.090022506
J.P. Chenet Cabernet Syrah 2017;399.9;3;12;0.090022506
Aubrade Le Prestige 2016;399.9;3;12;0.090022506
J.P. Chenet Merlot 2017;399.9;3;12;0.090022506
Chill Out Delicate and Fruity Californian Shiraz Rosé;399.9;3;12;0.090022506
Crocodile Rock Shiraz Cabernet;399.9;3;12;0.090022506
Falling Feather Ruby Cabernet 2016;399.9;3;12;0.090022506
Tommasi Pinot Grigio 2017;399.9;3;12;0.090022506
Tronnes XO Réserve;399.9;1;36;0.090022506
50° Rheingau Riesling Trocken 2015;399.9;3;12;0.090022506
Carussin Completo;399.9;3;12;0.090022506
Vigna Paradiso Soave;399.9;3;12;0.090022506
Cant. Ronco Bianco;399.9;3;12;0.090022506
Ravenswood Zinfandel 2015;449.9;3;13.5;0.090020004
Cocoon Zinfandel Grand Reserve 2015;449.9;3;13.5;0.090020004
La Prua Corvina Veneto Appasimento 2013;449.9;3;13.5;0.090020004
Absolut Vodka;444.4;1;40;0.090009001
Maison Vialade Vin Rouge 2017;325;2.25;13;0.09
Escada Arinto Reserva 2017;100;0.75;12;0.09
Le Mas;450.6;3;13.5;0.08988016
Villa Negra Gran Reserva 2012;116.9;0.75;14;0.089820359
Rent Brennevin 60%;233.9;0.35;60;0.089781958
Highland Queen;311.9;0.7;40;0.089772363
Casillero del Diablo Merlot 2017;112.9;0.75;13.5;0.089681134
Casillero del Diablo Carmenere 2016;112.9;0.75;13.5;0.089681134
Casillero del Diablo Pinot Noir 2017;112.9;0.75;13.5;0.089681134
Faustino Tempranillo;434.9;3;13;0.089675788
Lavila 2012;100.4;0.75;12;0.089641434
Tavernello Trebbiano Chardonnay;100.4;0.75;12;0.089641434
Signature Series P.J. Valckenberg Riesling Trocken 2016;384.9;3;11.5;0.089633671
Tullamore Dew Collector's Edition;479.9;1;43;0.089602
Louis Pascal Fronton Rosé 2017;401.8;3;12;0.089596814
Brennevin Seksti;334.9;0.5;60;0.089578979
Jon Josh Matra 2017;96.3;0.75;11.5;0.089563863
Villa Rosso Nero di Troia;418.8;3;12.5;0.089541547
Koskenkorva 60%;469.9;0.7;60;0.089380719
Radio Boca PIT 2016;104.9;0.75;12.5;0.089370829
Trapiche Sauvignon Blanc 2017;104.9;0.75;12.5;0.089370829
Vistamar Brisa Sauvignon Blanc 2017;104.9;0.75;12.5;0.089370829
Hammeken Radio Boca 2017;104.9;0.75;12.5;0.089370829
Côte Mas Rosé Aurore 2017;104.9;0.75;12.5;0.089370829
Arrow Chardonnay;279.9;2;12.5;0.089317613
Marques de dos Aguas;279.9;2;12.5;0.089317613
Smirnoff No. 21;419.9;1;37.5;0.089306978
Niepoort Dão Rótulo 2015;419.9;3;12.5;0.089306978
Montalto Cataratto-Chardonnay 2017;419.9;3;12.5;0.089306978
Boris Jelzin Vodka;419.9;1;37.5;0.089306978
Franco Francesco Dolcetto;419.9;3;12.5;0.089306978
Odfjell Armador Cabernet Sauvignon Carmenere;419.9;3;12.5;0.089306978
Castellani Poggio al Casone;419.9;3;12.5;0.089306978
Legado Anna Albariño;419.9;3;12.5;0.089306978
Cluny;447.9;1;40;0.089305649
Hammer Vodka;334.9;0.7;42.7;0.089250523
Este Vinho Verde 2013;79.9;0.75;9.5;0.089173967
Santa Julia Torrontes 2017;117.9;0.75;14;0.089058524
Vanlig akvavit;294.9;0.7;37.5;0.089013225
Sunrise Chardonnay 2017;96.9;0.75;11.5;0.089009288
Hammer;239.9;0.5;42.7;0.088995415
Snälleröds Mäskdrängen Akvavit;224.9;0.5;40;0.088928413
Snälleröds Brännmästarens Akvavit;224.9;0.5;40;0.088928413
Hammer London Dry;314.9;0.7;40;0.088917117
Scottish Leader Blended Scotch Whisky;449.9;1;40;0.088908646
Pierre Deschamps Chardonnay Vielles Vignes 2016;105.5;0.75;12.5;0.088862559
